iter	Passed	Remaining
0	46	46781
1	47	23513
2	47	15752
3	47	11864
4	47	9534
5	48	7976
6	48	6866
7	48	6032
8	48	5382
9	49	4865
10	49	4439
11	49	4084
12	49	3783
13	50	3526
14	50	3303
15	50	3107
16	50	2934
17	50	2782
18	51	2644
19	51	2520
20	51	2408
21	51	2307
22	52	2215
23	52	2132
24	52	2057
25	53	1988
26	53	1923
27	53	1861
28	53	1803
29	54	1749
30	54	1698
31	54	1653
32	54	1608
33	55	1566
34	55	1526
35	55	1488
36	55	1452
37	56	1419
38	56	1387
39	56	1356
40	56	1328
41	57	1300
42	57	1274
43	57	1249
44	57	1224
45	57	1201
46	58	1178
47	58	1157
48	58	1136
49	58	1117
50	59	1098
51	59	1080
52	59	1063
53	59	1046
54	59	1030
55	60	1015
56	60	1002
57	60	988
58	61	974
59	61	960
60	61	947
61	61	934
62	62	922
63	62	910
64	62	898
65	62	887
66	62	876
67	63	865
68	63	855
69	63	845
70	63	835
71	64	825
72	64	816
73	64	807
74	64	798
75	64	790
76	65	781
77	65	773
78	65	765
79	65	757
80	66	750
81	66	743
82	66	735
83	66	728
84	67	721
85	67	714
86	67	708
87	67	701
88	67	695
89	68	689
90	68	683
91	68	677
92	68	671
93	69	665
94	69	659
95	69	655
96	69	650
97	70	644
98	70	639
99	70	634
100	70	630
101	71	625
102	71	620
103	71	615
104	71	610
105	71	606
106	72	601
107	72	597
108	72	593
109	72	589
110	73	585
111	73	581
112	73	577
113	73	574
114	74	570
115	74	567
116	74	563
117	74	559
118	75	555
119	75	552
120	75	548
121	75	544
122	75	541
123	76	538
124	76	534
125	76	532
126	76	528
127	77	525
128	77	522
129	77	519
130	77	516
131	78	513
132	78	510
133	78	507
134	78	504
135	79	502
136	79	499
137	79	497
138	79	494
139	80	492
140	80	489
141	80	486
142	80	483
143	81	481
144	81	479
145	81	476
146	81	474
147	81	471
148	82	469
149	82	466
150	82	464
151	82	462
152	83	459
153	83	457
154	83	455
155	83	453
156	83	450
157	84	448
158	84	446
159	84	444
160	84	441
161	85	439
162	85	437
163	85	435
164	85	433
165	85	431
166	86	429
167	86	427
168	86	425
169	86	423
170	87	422
171	87	420
172	87	418
173	87	416
174	88	414
175	88	413
176	88	411
177	88	409
178	88	407
179	89	406
180	89	404
181	89	402
182	89	401
183	90	400
184	90	398
185	90	396
186	90	395
187	91	393
188	91	391
189	91	390
190	91	388
191	91	387
192	92	385
193	92	384
194	92	382
195	92	381
196	93	379
197	93	378
198	93	376
199	93	375
200	94	374
201	94	372
202	94	371
203	94	370
204	95	368
205	95	367
206	95	366
207	95	364
208	96	363
209	96	362
210	96	361
211	96	359
212	97	358
213	97	357
214	97	356
215	97	355
216	98	354
217	98	352
218	98	351
219	98	350
220	99	349
221	99	348
222	99	347
223	100	346
224	100	345
225	100	344
226	100	343
227	101	342
228	101	341
229	101	339
230	101	338
231	102	337
232	102	336
233	102	335
234	102	334
235	103	333
236	103	332
237	103	331
238	103	330
239	104	329
240	104	328
241	104	328
242	104	327
243	105	326
244	105	325
245	105	324
246	106	323
247	106	322
248	106	321
249	106	320
250	106	319
251	107	318
252	107	317
253	107	316
254	107	315
255	108	314
256	108	313
257	108	312
258	108	311
259	109	310
260	109	309
261	109	308
262	109	307
263	109	306
264	110	305
265	110	304
266	110	303
267	110	302
268	111	301
269	111	301
270	111	300
271	111	299
272	112	298
273	112	297
274	112	297
275	112	296
276	113	295
277	113	294
278	113	293
279	113	292
280	114	291
281	114	291
282	114	290
283	114	289
284	115	289
285	115	288
286	115	287
287	116	286
288	116	286
289	116	285
290	116	284
291	116	283
292	117	282
293	117	282
294	117	281
295	118	281
296	118	280
297	118	279
298	118	278
299	119	278
300	119	277
301	119	276
302	119	275
303	120	275
304	120	274
305	120	273
306	120	272
307	121	271
308	121	271
309	121	270
310	121	269
311	121	268
312	122	268
313	122	267
314	122	266
315	123	266
316	123	265
317	123	264
318	123	264
319	123	263
320	124	262
321	124	262
322	124	261
323	124	260
324	125	260
325	125	259
326	125	258
327	125	257
328	126	257
329	126	256
330	126	255
331	126	255
332	127	254
333	127	253
334	127	253
335	127	252
336	127	251
337	128	251
338	128	250
339	128	249
340	128	249
341	129	248
342	129	247
343	129	246
344	129	246
345	129	245
346	130	244
347	130	244
348	130	243
349	130	242
350	131	242
351	131	241
352	131	240
353	131	240
354	131	239
355	132	239
356	132	238
357	132	237
358	132	237
359	133	236
360	133	236
361	133	235
362	133	234
363	134	234
364	134	233
365	134	233
366	134	232
367	134	231
368	135	231
369	135	230
370	135	229
371	135	229
372	136	228
373	136	228
374	136	227
375	136	226
376	136	226
377	137	225
378	137	225
379	137	224
380	137	224
381	138	223
382	138	222
383	138	222
384	138	221
385	139	221
386	139	220
387	139	220
388	139	219
389	140	219
390	140	218
391	140	218
392	140	217
393	141	217
394	141	216
395	141	215
396	141	215
397	142	214
398	142	214
399	142	213
400	142	213
401	143	212
402	143	212
403	143	211
404	143	211
405	144	210
406	144	210
407	144	209
408	144	209
409	144	208
410	145	208
411	145	207
412	145	206
413	145	206
414	146	205
415	146	205
416	146	204
417	146	204
418	146	203
419	147	203
420	147	202
421	147	202
422	147	201
423	148	201
424	148	200
425	148	200
426	148	199
427	149	199
428	149	198
429	149	198
430	150	198
431	150	197
432	150	197
433	150	196
434	151	196
435	151	195
436	151	195
437	151	194
438	152	194
439	152	193
440	152	193
441	152	192
442	152	192
443	153	191
444	153	191
445	153	190
446	153	190
447	154	189
448	154	189
449	154	188
450	154	188
451	154	187
452	155	187
453	155	186
454	155	186
455	156	186
456	156	185
457	156	185
458	157	185
459	157	185
460	158	184
461	158	184
462	158	184
463	159	183
464	159	183
465	159	182
466	159	182
467	160	181
468	160	181
469	160	181
470	160	180
471	160	180
472	161	179
473	161	179
474	161	178
475	161	178
476	162	177
477	162	177
478	162	176
479	162	176
480	163	176
481	163	175
482	163	175
483	164	174
484	164	174
485	164	173
486	164	173
487	164	173
488	165	172
489	165	172
490	165	171
491	165	171
492	166	170
493	166	170
494	166	169
495	166	169
496	166	169
497	167	168
498	167	168
499	167	167
500	167	167
501	168	166
502	168	166
503	168	165
504	168	165
505	169	165
506	169	164
507	169	164
508	169	163
509	169	163
510	170	162
511	170	162
512	170	162
513	170	161
514	171	161
515	171	160
516	171	160
517	171	159
518	172	159
519	172	159
520	172	158
521	172	158
522	172	157
523	173	157
524	173	156
525	173	156
526	173	156
527	174	155
528	174	155
529	174	154
530	174	154
531	174	153
532	175	153
533	175	153
534	175	152
535	175	152
536	176	151
537	176	151
538	176	150
539	176	150
540	176	150
541	177	149
542	177	149
543	177	148
544	177	148
545	178	148
546	178	147
